feature,shap_importance
EXT_SCORE_MEAN,0.38160422
EXT_SCORE_PROD,0.21059516
CODE_GENDER,0.1278041
LOAN_TO_GOODS,0.11891475
AMT_ANNUITY,0.11735989
AMT_CREDIT,0.11593864
EXT_SOURCE_3,0.1089898
AGE_YEARS,0.10242254
FLAG_OWN_CAR,0.09981873
EXT_SOURCE_1,0.091265924
ID_STABILITY,0.08690397
NAME_EDUCATION_TYPE_Higher education,0.07973102
EMPLOYED_YEARS,0.07820197
EXT_SCORE_MAX,0.059982426
CAREER_FRACTION,0.050401896
NAME_CONTRACT_TYPE_Revolving loans,0.047342747
MONTHLY_PAYMENT_RATIO,0.04635814
CREDIT_OVERRUN,0.045081835
REGISTRATION_STABILITY,0.04118736
EXT_SOURCE_2,0.040928062
EXT_SCORE_MIN,0.03704417
TXN_AMOUNT_90D,0.036911577
ANNUITY_TO_INCOME,0.036483977
PAYMENT_REGULARITY_90D,0.03557945
DEBT_TO_INCOME,0.0331289
NAME_EDUCATION_TYPE_Secondary / secondary special,0.03301877
CNT_FAM_MEMBERS,0.032662418
NAME_INCOME_TYPE_Working,0.03253196
TXN_AMOUNT_30D,0.032057606
CREDIT_TO_INCOME,0.030013893
INCOME_PER_PERSON,0.029577505
PAYMENT_REGULARITY_30D,0.027107202
TXN_AMOUNT_60D,0.026017476
SPEND_TREND_30_90,0.023009641
EXT_SCORE_RANGE,0.02243002
PAYMENT_REGULARITY_60D,0.02200462
AMT_INCOME_TOTAL,0.015618355
TXN_COUNT_60D,0.015498327
TXN_COUNT_30D,0.014768139
NAME_INCOME_TYPE_State servant,0.014441661
TXN_COUNT_90D,0.014054513
AGE_RISK_BAND,0.008072392
CNT_CHILDREN,0.0070059807
FLAG_OWN_REALTY,0.0063241506
CHILDREN_RATIO,0.005989373
NAME_EDUCATION_TYPE_Lower secondary,0.003641423
NAME_EDUCATION_TYPE_Incomplete higher,0.002226418
NAME_INCOME_TYPE_Commercial associate,0.0014429424
NAME_INCOME_TYPE_Pensioner,0.0014029103
NAME_INCOME_TYPE_Unemployed,0.00016216146
EMPLOYMENT_RISK,4.0835417e-05
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
